Data Extract: data for one segment with characteristics given in cells N3:O10,,,,,,,,,,,,,,,,,
Tier,FICO,Approve Date,Term,Amount,Previous Rate,Car  Type,Competition Rate,Outcome,Rate,Cost of Funds,Partner Bin,,,,,,
2,702,7/2/02,60,22000, ,U,5.85,0,6.19,1.84,3,,Term,60,,,
2,710,7/3/02,60,21000, ,U,5.85,0,6.19,1.84,1,,Car Type,U,,,
3,693,7/6/02,60,19598, ,U,5.85,1,7.29,1.84,1,,Min FICO,684,,,
3,696,7/6/02,60,23071, ,U,5.85,0,7.29,1.84,3,,Max FICO,712,,,
3,697,7/8/02,60,21578, ,U,5.80,1,7.29,1.84,2,,Min Amnt,17800,,,
2,702,7/8/02,60,20211, ,U,5.80,1,6.19,1.84,2,,Max Amnt,25000,,,
2,709,7/10/02,60,21051, ,U,5.80,1,6.19,1.84,1,,,,,,
3,690,7/12/02,60,21498, ,U,5.80,0,7.29,1.84,1,,Total good obs,1540,,,
3,684,7/13/02,60,18000, ,U,5.80,1,7.29,1.84,3,,,,,,
2,706,7/15/02,60,24025, ,U,5.80,0,6.19,1.84,1,,,,,,
2,704,7/15/02,60,23000, ,U,5.80,0,6.19,1.84,3,,,,,,
3,693,7/16/02,60,19620, ,U,5.80,1,6.59,1.84,2,,,,,,
2,702,7/17/02,60,24227, ,U,5.80,1,5.35,1.84,1,,,,,,
2,705,7/18/02,60,21262, ,U,5.80,0,5.69,1.84,1,,,,,,
3,692,7/19/02,60,25000, ,U,5.80,0,6.59,1.84,1,,,,,,
2,702,7/19/02,60,19071, ,U,5.80,1,5.69,1.84,3,,,,,,
2,705,7/22/02,60,20000, ,U,5.75,0,5.69,1.84,1,,,,,,
2,709,7/22/02,60,21678, ,U,5.75,1,5.69,1.84,3,,,,,,
2,706,7/22/02,60,23600, ,U,5.75,0,5.69,1.84,1,,,,,,
3,708,7/23/02,60,18000, ,U,5.75,1,6.44,1.84,3,,,,,,
2,702,7/25/02,60,20845, ,U,5.75,0,5.69,1.82,1,,,,,,
3,695,7/26/02,60,25000, ,U,5.75,0,6.59,1.81,3,,,,,,
3,699,7/27/02,60,23528, ,U,5.75,0,6.59,1.81,3,,,,,,
3,691,7/27/02,60,18700, ,U,5.75,0,6.59,1.81,3,,,,,,
3,693,7/30/02,60,22000, ,U,5.75,0,6.59,1.82,1,,,,,,
2,709,8/6/02,60,24767, ,U,5.75,0,5.35,1.78,3,,,,,,
3,688,8/7/02,60,20000, ,U,5.75,0,6.44,1.78,3,,,,,,
2,711,8/9/02,60,20827, ,U,5.75,1,5.35,1.78,3,,,,,,
3,688,8/10/02,60,23543, ,U,5.75,0,6.44,1.78,1,,,,,,
3,685,8/11/02,60,18151, ,U,5.75,1,5.76,1.78,1,,,,,,
3,685,8/11/02,60,19465, ,U,5.75,1,6.44,1.78,3,,,,,,
2,704,8/13/02,60,18513, ,U,5.75,1,5.35,1.78,3,,,,,,
3,688,8/14/02,60,18004, ,U,5.75,1,6.44,1.78,3,,,,,,
2,712,8/15/02,60,22000, ,U,5.75,0,5.35,1.79,1,,,,,,
2,706,8/15/02,60,21006, ,U,5.75,1,5.35,1.79,3,,,,,,
3,694,8/18/02,60,20590, ,U,5.75,1,6.44,1.80,1,,,,,,
3,693,8/19/02,60,17850, ,U,5.75,0,6.44,1.81,3,,,,,,
3,711,8/22/02,60,18971, ,U,5.75,1,5.99,1.81,3,,,,,,
2,711,8/23/02,60,25000, ,U,5.75,0,4.89,1.81,1,,,,,,
3,693,8/23/02,60,20640, ,U,5.75,1,6.44,1.81,2,,,,,,
2,707,8/25/02,60,25000, ,U,5.75,0,5.35,1.81,1,,,,,,
2,704,8/26/02,60,19160, ,U,5.75,0,5.35,1.81,1,,,,,,
3,695,8/27/02,60,20387, ,U,5.75,1,5.98,1.81,3,,,,,,
2,709,8/29/02,60,18110, ,U,5.75,1,5.35,1.82,2,,,,,,
2,703,8/29/02,60,18556, ,U,5.75,1,5.35,1.82,2,,,,,,
2,704,8/30/02,60,22396, ,U,5.75,1,5.35,1.82,1,,,,,,
2,700,8/30/02,60,20049, ,U,5.75,1,5.35,1.82,1,,,,,,
2,710,9/2/02,60,23634, ,U,5.75,1,5.35,1.82,2,,,,,,
3,694,9/2/02,60,25000, ,U,5.75,0,6.44,1.82,1,,,,,,
2,700,9/4/02,60,19730, ,U,5.75,0,5.35,1.81,1,,,,,,
3,693,9/4/02,60,20941, ,U,5.75,0,6.44,1.81,1,,,,,,
2,708,9/5/02,60,19683, ,U,5.75,1,5.35,1.81,3,,,,,,
3,685,9/5/02,60,24000, ,U,5.75,0,6.44,1.81,3,,,,,,
3,687,9/7/02,60,19000, ,U,5.75,1,6.44,1.81,3,,,,,,
2,712,9/6/02,60,22041, ,U,5.75,0,5.35,1.81,3,,,,,,
3,692,9/8/02,60,18425, ,U,5.75,0,6.44,1.81,3,,,,,,
3,684,9/8/02,60,19954, ,U,5.75,0,6.44,1.81,1,,,,,,
2,709,9/9/02,60,18915, ,U,5.75,1,5.35,1.81,1,,,,,,
3,691,9/10/02,60,20161, ,U,5.75,1,6.44,1.82,3,,,,,,
3,685,9/9/02,60,20984, ,U,5.75,0,6.44,1.81,1,,,,,,
2,712,9/17/02,60,25000, ,U,5.75,0,5.35,1.82,3,,,,,,
2,703,9/17/02,60,19570, ,U,5.75,1,5.35,1.82,1,,,,,,
3,699,9/19/02,60,22000, ,U,5.75,0,6.44,1.82,1,,,,,,
3,694,9/23/02,60,23216, ,U,5.50,0,4.89,1.81,1,,,,,,
3,693,9/26/02,60,17850, ,U,5.50,1,5.98,1.81,1,,,,,,
3,692,9/26/02,60,21800, ,U,5.50,1,6.14,1.81,1,,,,,,
3,696,9/27/02,60,25000, ,U,5.50,1,6.14,1.82,3,,,,,,
3,687,9/30/02,60,21500, ,U,5.50,0,6.14,1.81,1,,,,,,
3,685,9/30/02,60,20000, ,U,5.50,1,5.59,1.81,3,,,,,,
3,692,9/30/02,60,23354, ,U,5.50,0,6.14,1.81,3,,,,,,
3,698,9/30/02,60,18500, ,U,5.50,0,6.14,1.81,3,,,,,,
2,712,9/30/02,60,22862, ,U,5.50,1,4.93,1.81,1,,,,,,
3,698,10/2/02,60,21079, ,U,5.50,1,6.14,1.80,3,,,,,,
3,697,10/6/02,60,22000, ,U,5.50,0,6.14,1.80,1,,,,,,
2,701,10/7/02,60,23515, ,U,5.50,1,4.93,1.80,3,,,,,,
2,702,10/7/02,60,24198, ,U,5.50,0,4.89,1.80,1,,,,,,
2,708,10/7/02,60,21000, ,U,5.50,1,4.89,1.80,1,,,,,,
2,710,10/8/02,60,21000, ,U,5.50,0,4.95,1.80,3,,,,,,
3,701,10/9/02,60,20000, ,U,5.50,0,5.99,1.80,3,,,,,,
3,685,10/9/02,60,24000, ,U,5.50,0,4.89,1.80,3,,,,,,
3,690,10/12/02,60,19998, ,U,5.40,1,6.2,1.80,1,,,,,,
3,693,10/12/02,60,20043, ,U,5.40,1,6.14,1.80,3,,,,,,
3,694,10/14/02,60,18502, ,U,5.40,1,5.19,1.81,3,,,,,,
3,684,10/14/02,60,20000, ,U,5.40,0,6.99,1.81,1,,,,,,
2,702,10/17/02,60,20000, ,U,5.40,1,4.69,1.83,1,,,,,,
2,709,10/17/02,60,22700, ,U,5.40,1,4.69,1.83,3,,,,,,
2,701,10/16/02,60,17879, ,U,5.40,1,4.59,1.82,3,,,,,,
3,684,10/17/02,60,19000, ,U,5.40,0,6.99,1.83,3,,,,,,
2,707,10/18/02,60,23829, ,U,5.40,1,4.89,1.83,1,,,,,,
2,708,10/19/02,60,18251, ,U,5.40,1,4.93,1.83,1,,,,,,
1,708,10/28/02,60,24800, ,U,5.40,0,4.89,1.80,1,,,,,,
3,686,10/21/02,60,20500, ,U,5.40,1,6.14,1.83,1,,,,,,
2,704,10/20/02,60,24000, ,U,5.40,1,4.59,1.83,3,,,,,,
2,706,10/22/02,60,24440, ,U,5.40,0,4.89,1.83,1,,,,,,
2,709,10/22/02,60,24000, ,U,5.40,0,4.89,1.83,3,,,,,,
2,707,10/26/02,60,20205, ,U,5.40,0,6.99,1.82,1,,,,,,
